id_medecin,prenom,nom,specialite,email,telephone,nom_complet
2,Jean,Dupont,Cardiologue,jean.dupont@esitrana.mg,26134000001,Jean Dupont
3,Marie,Razafindrabe,Pédiatre,marie.razafindrabe@esitrana.mg,26134000002,Marie Razafindrabe
4,Paul,Rakoto,Gynécologue,paul.rakoto@esitrana.mg,26134000003,Paul Rakoto
5,Sophie,Andriamalala,Médecin Généraliste,sophie.andriamalala@esitrana.mg,26134000004,Sophie Andriamalala
6,Michel,Rabe,Dermatologue,michel.rabe@esitrana.mg,26134000005,Michel Rabe
7,Catherine,Rasoa,Ophtalmologue,catherine.rasoa@esitrana.mg,26134000006,Catherine Rasoa
8,André,Tiana,Orthopédiste,andre.tiana@esitrana.mg,26134000007,André Tiana
9,Lucie,Ravelonarivo,Radiologue,lucie.ravelonarivo@esitrana.mg,26134000008,Lucie Ravelonarivo
10,François,Razafy,Neurologue,francois.razafy@esitrana.mg,26134000009,François Razafy
11,Élodie,Mahazo,Psychiatre,elodie.mahazo@esitrana.mg,26134000010,Élodie Mahazo
1,Test,Doctor,General,test@test.com,123456789,Test Doctor
