EXPORT DES DONNEES E-SITRANA
Date d'export: 01/05/2026 11:02:28

RENDEZ-VOUS
ID,Patient,Medecin,Service,Date,Heure,Statut
37,"lova  malala","Sophie Andriamalala","Médecine générale",2026-05-31,15:00:00,"en attente"
35,"Enzzo fotsiny","Paul Rakoto","Gynécologie",2026-05-23,15:30:00,"en attente"
36,"Sylvin Bogoss","Catherine Rasoa","Médecine générale",2026-05-09,09:30:00,"en attente"
34,"Raharimalala Cedrick","Marie Razafindrabe","Pédiatrie",2026-05-02,09:30:00,"en attente"
11,"Jaoh Ced","Marie Razafindrabe","Pédiatrie",2026-04-11,09:30:00,"en attente"
33,"Tiana Rakotondrabe","Test Doctor","Médecine générale",2026-03-29,14:00:00,"en suivi"
31,"Feno Rado","Ã‰lodie Mahazo","Médecine générale",2026-03-28,09:30:00,"en suivi"
29,"Rasoa Mialy","FranÃ§ois Razafy","Médecine générale",2026-03-27,11:30:00,"en suivi"
25,"Tiana Rakotondrabe","AndrÃ© Tiana","Médecine générale",2026-03-26,15:00:00,"en suivi"
21,"Rasoa Mialy","Michel Rabe","Médecine générale",2026-03-25,10:00:00,"en suivi"
23,"Feno Rado","Catherine Rasoa","Médecine générale",2026-03-24,14:30:00,"en suivi"
27,"Sahondra Ravelonarivo","Lucie Ravelonarivo","Laboratoire",2026-03-23,13:30:00,"en suivi"
19,"Sahondra Ravelonarivo","Sophie Andriamalala","Médecine générale",2026-03-22,16:00:00,"en suivi"
10,"Rasoa Mialy","Marie Razafindrabe","Gynécologie",2026-03-21,11:30:00,"en suivi"
9,"Sahondra Ravelonarivo","FranÃ§ois Razafy","Imagerie MÃ©dicale",2026-03-21,09:30:00,"en suivi"
8,"Mamy Razafindrabe","Lucie Ravelonarivo","Médecine générale",2026-03-20,14:30:00,"en suivi"
7,"Tiana Rakotondrabe","AndrÃ© Tiana","Laboratoire",2026-03-20,10:00:00,"en suivi"
17,"Tiana Rakotondrabe","Paul Rakoto","Gynécologie",2026-03-20,09:00:00,"en suivi"
6,"Rakoto Rabe","Catherine Rasoa","Médecine générale",2026-03-20,08:00:00,"en suivi"
5,"Lala Herinirina","Michel Rabe","Laboratoire",2026-03-19,15:30:00,"terminÃ©"
4,"Feno Rado","Sophie Andriamalala","Médecine générale",2026-03-19,11:00:00,"terminÃ©"
3,"Andry Nirina","Paul Rakoto","Médecine générale",2026-03-18,14:00:00,"terminÃ©"
15,"Feno Rado","Marie Razafindrabe","Pédiatrie",2026-03-18,11:00:00,"en suivi"
2,"Rasoa Mialy","Test Doctor","Cardiologie",2026-03-18,10:30:00,"terminÃ©"
1,"Rakoto Rabe","Jean Dupont","Pédiatrie",2026-03-18,09:00:00,"terminÃ©"
30,"Andry Nirina","Ã‰lodie Mahazo","Médecine générale",2026-03-16,16:30:00,"terminÃ©"
13,"Rasoa Mialy","Jean Dupont","Cardiologie",2026-03-15,10:30:00,"terminÃ©"
20,"Rakoto Rabe","Michel Rabe","Médecine générale",2026-03-14,13:00:00,"terminÃ©"
28,"Rakoto Rabe","FranÃ§ois Razafy","Médecine générale",2026-03-13,10:00:00,"terminÃ©"
14,"Andry Nirina","Marie Razafindrabe","Pédiatrie",2026-03-12,14:00:00,"terminÃ©"
24,"Lala Herinirina","AndrÃ© Tiana","Médecine générale",2026-03-11,09:30:00,"terminÃ©"
12,"Rakoto Rabe","Jean Dupont","Cardiologie",2026-03-10,09:00:00,"terminÃ©"
26,"Mamy Razafindrabe","Lucie Ravelonarivo","Laboratoire",2026-03-09,08:00:00,"terminÃ©"
16,"Lala Herinirina","Paul Rakoto","Gynécologie",2026-03-08,15:30:00,"terminÃ©"
22,"Andry Nirina","Catherine Rasoa","Médecine générale",2026-03-07,11:30:00,"terminÃ©"
32,"Lala Herinirina","Test Doctor","Médecine générale",2026-03-06,12:00:00,"terminÃ©"
18,"Mamy Razafindrabe","Sophie Andriamalala","Médecine générale",2026-03-05,08:30:00,"terminÃ©"

PATIENTS
ID,Prénom,Nom,Email,Téléphone,Adresse,Date de naissance
13,"lova ","malala","lova@gmail.com","0342515642","",""
12,"Sylvin","Bogoss","sylvin@gmail.com","0342515448","",""
11,"Enzzo","fotsiny","enzzo@gmail.com","0341546595","",""
10,"Raharimalala","Cedrick","jaohced@gmail.com","034 66 654 21","",""
9,"Jaoh","Ced","joahced@gmail.com","0343275545","",""
1,"Rakoto","Rabe","rakoto.rabe@email.com","+26134123456","Antananarivo, Madagascar","1990-05-15"
2,"Rasoa","Mialy","rasoa.mialy@email.com","+26134234567","Fianarantsoa, Madagascar","1985-08-22"
3,"Andry","Nirina","andry.nirina@email.com","+26134345678","Toamasina, Madagascar","1992-12-10"
4,"Feno","Rado","feno.rado@email.com","+26134456789","Mahajanga, Madagascar","1988-03-18"
